"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2024","1,978.00","2,000.00","2,000.00","2,000.00","","-1.10%"
"01/01/2024","2,000.00","2,099.00","2,099.00","2,099.00","","-4.72%"
"12/01/2023","2,099.00","2,154.50","2,154.50","2,154.50","","-2.76%"
"11/01/2023","2,158.50","2,150.50","2,150.50","2,150.50","","0.21%"
"10/01/2023","2,154.00","2,054.50","2,054.50","2,054.50","","4.69%"
"09/01/2023","2,057.50","1,993.00","1,993.00","1,993.00","","3.99%"
"08/01/2023","1,978.50","1,856.50","1,856.50","1,856.50","","6.00%"
"07/01/2023","1,866.50","1,886.00","1,886.00","1,886.00","","-1.27%"
"06/01/2023","1,890.50","2,001.00","2,001.00","2,001.00","","-6.09%"
"05/01/2023","2,013.00","2,163.00","2,163.00","2,163.00","","-7.83%"
"04/01/2023","2,184.00","2,104.00","2,104.00","2,104.00","","-0.34%"
"03/01/2023","2,191.50","2,249.50","2,249.50","2,249.50","","-2.58%"
"02/01/2023","2,249.50","2,000.00","2,000.00","2,000.00","","12.48%"
"01/01/2023","2,000.00","3,045.00","3,045.00","3,045.00","","-34.10%"
"12/01/2022","3,035.00","3,231.00","3,231.00","3,231.00","","-6.08%"
"11/01/2022","3,231.50","3,170.50","3,170.50","3,170.50","","2.98%"
"10/01/2022","3,138.00","3,070.50","3,070.50","3,070.50","","4.65%"
"09/01/2022","2,998.50","3,036.50","3,036.50","3,036.50","","-1.35%"
"08/01/2022","3,039.50","3,151.50","3,151.50","3,151.50","","-3.49%"
"07/01/2022","3,149.50","3,177.50","3,177.50","3,177.50","","-0.51%"
"06/01/2022","3,165.50","3,183.50","3,183.50","3,183.50","","0.03%"
"05/01/2022","3,164.50","3,200.00","3,200.00","3,200.00","","-1.65%"
"04/01/2022","3,217.50","3,000.00","3,120.00","3,000.00","0.04K","5.27%"
"03/01/2022","3,056.50","2,883.50","2,883.50","2,883.50","0.02K","52.83%"
"02/01/2022","2,000.00","1,990.00","1,990.00","1,990.00","","0.50%"
"01/01/2022","1,990.00","2,404.50","2,404.50","2,404.50","","-17.12%"
"12/01/2021","2,401.00","2,365.00","2,365.00","2,365.00","","1.59%"
"11/01/2021","2,363.50","2,324.00","2,324.00","2,324.00","","1.98%"
"10/01/2021","2,317.50","2,278.50","2,278.50","2,278.50","","2.27%"
"09/01/2021","2,266.00","2,169.50","2,169.50","2,169.50","","4.76%"
"08/01/2021","2,163.00","2,163.00","2,163.00","2,163.00","","6.53%"
"07/01/2021","2,030.50","2,030.50","2,030.50","2,030.50","","7.98%"
"06/01/2021","1,880.50","1,870.00","1,870.00","1,870.00","0.01K","-2.51%"
"05/01/2021","1,929.00","1,990.00","1,990.00","1,940.00","0.26K","-3.55%"
"04/01/2021","2,000.00","1,660.00","2,020.00","1,660.00","0.63K","22.93%"
"03/01/2021","1,627.00","1,585.00","1,636.50","1,570.00","0.27K","-1.39%"
"02/01/2021","1,650.00","1,700.00","1,700.00","1,650.00","0.07K","-1.08%"
"01/01/2021","1,668.00","1,490.00","1,668.00","1,490.00","0.39K","14.32%"
"12/01/2020","1,459.00","1,419.50","1,419.50","1,350.00","0.54K","0.24%"
"11/01/2020","1,455.50","1,439.00","1,440.00","1,400.00","0.60K","2.50%"
"10/01/2020","1,420.00","1,342.50","1,445.00","1,283.00","1.46K","3.69%"
"09/01/2020","1,369.50","1,395.00","1,395.00","1,318.50","0.70K","-1.15%"
"08/01/2020","1,385.50","1,380.00","1,395.00","1,320.00","1.64K","-0.79%"
"07/01/2020","1,396.50","1,425.00","1,430.00","1,376.00","0.88K","-2.65%"
"06/01/2020","1,434.50","1,499.00","1,499.00","1,405.00","3.28K","-4.37%"
"05/01/2020","1,500.00","1,560.00","1,560.00","1,485.00","4.03K","-3.51%"
"04/01/2020","1,554.50","1,615.00","1,690.50","1,535.00","3.19K","-5.64%"
"03/01/2020","1,647.50","1,671.00","1,680.00","1,585.50","1.34K","-0.93%"
"02/01/2020","1,663.00","1,730.00","1,733.50","1,655.00","2.52K","-4.09%"
"01/01/2020","1,734.00","1,730.00","1,749.00","1,701.00","1.07K","-18.93%"
"12/01/2019","2,139.00","2,139.00","2,139.00","2,139.00","","0.26%"
"11/01/2019","2,133.50","2,145.50","2,170.00","2,136.00","0.09K","1.11%"
"10/01/2019","2,110.00","1,920.00","2,110.00","1,912.00","0.95K","10.18%"
"09/01/2019","1,915.00","1,852.00","1,925.00","1,831.00","1.90K","3.57%"
"08/01/2019","1,849.00","1,832.50","1,870.00","1,808.00","4.24K","1.09%"
"07/01/2019","1,829.00","1,812.00","1,842.00","1,811.00","5.80K","0.63%"
"06/01/2019","1,817.50","1,802.00","1,860.00","1,771.00","6.29K","0.19%"
"05/01/2019","1,814.00","1,870.50","1,925.00","1,810.00","11.31K","-2.79%"
"04/01/2019","1,866.00","1,687.00","1,883.00","1,676.00","11.76K","9.96%"
"03/01/2019","1,697.00","1,670.00","1,710.00","1,657.50","1.33K","2.48%"
"02/01/2019","1,656.00","1,690.00","1,699.50","1,656.00","0.54K","-2.33%"
"01/01/2019","1,695.50","1,979.00","1,993.00","1,660.50","2.91K","-13.87%"
"12/01/2018","1,968.50","1,812.00","1,970.00","1,810.00","2.52K","7.98%"
"11/01/2018","1,823.00","1,888.00","1,949.00","1,822.00","5.69K","-3.88%"
"10/01/2018","1,896.50","1,768.00","1,905.00","1,747.50","13.59K","6.97%"
"09/01/2018","1,773.00","1,622.00","1,780.50","1,607.00","9.04K","9.51%"
"08/01/2018","1,619.00","1,606.00","1,636.50","1,586.00","11.74K","0.56%"
"07/01/2018","1,610.00","1,483.00","1,615.00","1,462.00","18.17K","9.30%"
"06/01/2018","1,473.00","1,497.00","1,534.00","1,441.00","19.22K","-1.50%"
"05/01/2018","1,495.50","1,408.50","1,500.00","1,400.00","24.40K","6.86%"
"04/01/2018","1,399.50","1,315.50","1,430.00","1,289.50","13.39K","6.39%"
"03/01/2018","1,315.50","1,453.00","1,473.50","1,308.00","6.89K","-9.34%"
"02/01/2018","1,451.00","1,465.00","1,485.00","1,450.50","1.41K","-1.23%"
"01/01/2018","1,469.00","1,494.00","1,525.00","1,466.00","0.90K","-3.45%"
"12/01/2017","1,521.50","1,507.50","1,530.00","1,482.50","0.88K","0.90%"
"11/01/2017","1,508.00","1,518.50","1,547.50","1,485.00","3.81K","-0.46%"
"10/01/2017","1,515.00","1,438.00","1,553.00","1,415.00","5.77K","5.65%"
"09/01/2017","1,434.00","1,470.00","1,475.00","1,408.00","7.44K","-2.48%"
"08/01/2017","1,470.50","1,426.50","1,495.00","1,372.00","12.63K","3.19%"
"07/01/2017","1,425.00","1,440.00","1,465.00","1,403.00","14.27K","-0.97%"
"06/01/2017","1,439.00","1,428.00","1,444.00","1,352.50","15.09K","1.77%"
"05/01/2017","1,414.00","1,540.00","1,540.00","1,406.00","24.30K","-8.48%"
"04/01/2017","1,545.00","1,609.00","1,615.00","1,530.00","8.92K","-2.28%"
"03/01/2017","1,581.00","1,530.00","1,614.50","1,501.00","5.34K","3.23%"
"02/01/2017","1,531.50","1,540.00","1,540.00","1,506.00","0.78K","0.43%"
"01/01/2017","1,525.00","1,857.00","1,864.00","1,520.00","0.46K","-17.41%"
"12/01/2016","1,846.50","1,835.00","1,861.00","1,782.50","3.64K","0.30%"
"11/01/2016","1,841.00","1,730.00","1,879.50","1,729.50","7.98K","6.45%"
"10/01/2016","1,729.50","1,565.00","1,741.00","1,542.00","9.83K","10.12%"
"09/01/2016","1,570.50","1,513.50","1,608.00","1,500.50","19.61K","3.83%"
"08/01/2016","1,512.50","1,602.00","1,602.00","1,495.50","29.53K","-4.75%"
"07/01/2016","1,588.00","1,560.00","1,635.00","1,550.00","31.58K","1.21%"
"06/01/2016","1,569.00","1,576.50","1,619.00","1,550.00","34.90K","-0.48%"
"05/01/2016","1,576.50","1,572.00","1,595.00","1,502.50","45.14K","1.32%"
"04/01/2016","1,556.00","1,530.00","1,581.50","1,472.00","44.12K","1.77%"
"03/01/2016","1,529.00","1,385.00","1,555.00","1,385.00","40.09K","9.37%"
"02/01/2016","1,398.00","1,424.00","1,453.00","1,378.50","25.97K","-1.65%"
"01/01/2016","1,421.50","1,395.50","1,449.00","1,286.00","21.13K","1.57%"
"12/01/2015","1,399.50","1,490.00","1,558.00","1,362.50","36.98K","-6.36%"
"11/01/2015","1,494.50","1,487.00","1,543.00","1,427.50","36.11K","1.08%"
"10/01/2015","1,478.50","1,194.50","1,486.00","1,194.50","56.79K","23.62%"
"09/01/2015","1,196.00","1,203.00","1,220.00","1,150.00","37.13K","-0.08%"
"08/01/2015","1,197.00","1,151.00","1,227.50","1,094.00","54.47K","4.13%"
"07/01/2015","1,149.50","1,220.00","1,224.50","1,135.00","58.81K","-5.70%"
"06/01/2015","1,219.00","1,265.00","1,275.00","1,215.00","79.05K","-3.14%"
"05/01/2015","1,258.50","1,287.00","1,297.00","1,228.00","79.16K","-0.98%"
"04/01/2015","1,271.00","1,125.00","1,305.00","1,086.00","122.40K","13.38%"
"03/01/2015","1,121.00","1,147.50","1,223.50","1,082.00","52.90K","-1.88%"
"02/01/2015","1,142.50","1,185.00","1,188.00","1,123.50","24.14K","-29.08%"
"01/01/2015","1,611.00","1,610.00","1,650.00","1,573.00","2.63K","-0.37%"
"12/01/2014","1,617.00","1,657.50","1,691.00","1,585.50","9.07K","-2.77%"
"11/01/2014","1,663.00","1,590.50","1,670.00","1,578.00","12.48K","5.09%"
"10/01/2014","1,582.50","1,588.00","1,617.50","1,499.50","19.32K","-0.25%"
"09/01/2014","1,586.50","1,477.50","1,614.00","1,475.00","26.26K","7.16%"
"08/01/2014","1,480.50","1,380.00","1,508.00","1,373.00","27.82K","7.36%"
"07/01/2014","1,379.00","1,400.00","1,400.00","1,336.00","36.43K","-0.65%"
"06/01/2014","1,388.00","1,294.00","1,400.00","1,266.50","43.68K","6.28%"
"05/01/2014","1,306.00","1,337.00","1,353.00","1,277.00","62.37K","-2.28%"
"04/01/2014","1,336.50","1,328.50","1,375.00","1,207.00","62.17K","0.72%"
"03/01/2014","1,327.00","1,378.50","1,388.00","1,312.50","20.05K","-3.53%"
"02/01/2014","1,375.50","1,362.00","1,397.50","1,334.00","26.69K","1.33%"
"01/01/2014","1,357.50","1,444.00","1,446.50","1,322.00","29.52K","-6.19%"
"12/01/2013","1,447.00","1,347.50","1,456.50","1,320.00","39.50K","7.19%"
"11/01/2013","1,350.00","1,277.50","1,395.00","1,263.00","23.80K","5.39%"
"10/01/2013","1,281.00","1,250.00","1,325.00","1,188.00","62.34K","2.32%"
"09/01/2013","1,252.00","1,317.00","1,360.00","1,222.00","57.74K","-4.86%"
"08/01/2013","1,316.00","1,203.50","1,321.00","1,203.50","111.59K","8.90%"
"07/01/2013","1,208.50","1,347.00","1,356.00","1,174.00","96.48K","-10.18%"
"06/01/2013","1,345.50","1,311.00","1,415.00","1,306.00","87.21K","2.28%"
"05/01/2013","1,315.50","1,347.00","1,375.00","1,297.00","86.77K","-2.12%"
"04/01/2013","1,344.00","1,329.00","1,381.00","1,288.00","74.81K","0.86%"
"03/01/2013","1,332.50","1,401.00","1,424.00","1,315.00","58.64K","-4.82%"
"02/01/2013","1,400.00","1,436.00","1,457.50","1,356.50","62.02K","-2.51%"
"01/01/2013","1,436.00","1,357.00","1,517.00","1,293.00","50.74K","6.37%"
"12/01/2012","1,350.00","1,458.00","1,469.50","1,326.50","55.37K","-8.13%"
"11/01/2012","1,469.50","1,305.00","1,483.50","1,287.50","70.08K","12.69%"
"10/01/2012","1,304.00","1,185.00","1,336.00","1,088.00","112.30K","9.63%"
"09/01/2012","1,189.50","1,261.00","1,270.00","1,104.00","122.58K","-5.93%"
"08/01/2012","1,264.50","1,362.50","1,434.50","1,260.00","152.05K","-6.82%"
"07/01/2012","1,357.00","1,262.50","1,546.00","1,252.00","187.37K","7.44%"
"06/01/2012","1,263.00","1,332.00","1,343.00","1,179.00","137.96K","-5.82%"
"05/01/2012","1,341.00","1,632.00","1,657.00","1,311.00","225.05K","-17.15%"
"04/01/2012","1,618.50","1,610.00","1,793.50","1,490.00","232.33K","1.00%"
"03/01/2012","1,602.50","1,570.00","1,750.00","1,447.00","91.54K","3.32%"
"02/01/2012","1,551.00","1,250.00","1,551.00","1,180.20","5.41K","23.98%"
"01/01/2012","1,251.00","1,221.00","1,308.00","1,201.00","2.36K","2.51%"
"12/01/2011","1,220.40","1,150.00","1,232.00","1,141.00","4.93K","6.07%"
"11/01/2011","1,150.60","1,105.00","1,190.00","1,075.20","9.12K","3.66%"
"10/01/2011","1,110.00","1,109.00","1,159.40","1,036.80","9.51K","-0.05%"
"09/01/2011","1,110.60","1,164.00","1,194.80","1,060.00","20.49K","-5.77%"
"08/01/2011","1,178.60","1,334.00","1,334.80","1,161.00","20.05K","-11.10%"
"07/01/2011","1,325.80","1,327.00","1,440.00","1,270.00","42.61K","-0.11%"
"06/01/2011","1,327.20","1,406.00","1,418.80","1,277.00","45.24K","-5.67%"
"05/01/2011","1,407.00","1,451.80","1,492.00","1,381.20","90.19K","-1.14%"
"04/01/2011","1,423.20","1,134.00","1,423.20","1,112.20","68.80K","26.39%"
"03/01/2011","1,126.00","1,261.60","1,322.00","1,092.40","15.48K","-10.72%"
"02/01/2011","1,261.20","1,236.00","1,348.00","1,219.00","11.52K","2.34%"
"01/01/2011","1,232.40","1,144.00","1,360.00","1,138.00","18.49K","8.26%"
"12/01/2010","1,138.40","1,244.00","1,250.00","1,112.20","7.85K","-8.37%"
"11/01/2010","1,242.40","1,249.00","1,325.00","1,225.00","22.99K","-0.46%"
"10/01/2010","1,248.20","1,270.00","1,305.00","1,224.00","40.11K","-1.64%"
"09/01/2010","1,269.00","1,205.40","1,287.00","1,197.00","40.09K","5.07%"
"08/01/2010","1,207.80","1,142.20","1,215.60","1,142.00","51.56K","5.82%"
"07/01/2010","1,141.40","1,141.00","1,183.80","1,110.00","51.90K","0.32%"
"06/01/2010","1,137.80","1,132.40","1,163.60","1,063.20","81.81K","0.76%"
"05/01/2010","1,129.20","1,045.00","1,133.60","1,011.40","63.49K","8.56%"
"04/01/2010","1,040.20","955.00","1,080.00","937.60","85.68K","8.56%"
"03/01/2010","958.20","921.40","964.00","888.20","16.59K","3.93%"
"02/01/2010","922.00","951.20","972.00","904.00","7.38K","-3.52%"
"01/01/2010","955.60","1,047.00","1,047.00","949.00","13.06K","-8.68%"